circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,ABDULLAPURMET,KOTHA GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,7109.0,18.0
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,ABDULLAPURMET,LASKAR GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,4170.0,12.25
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,KUNTLOOR - II,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,2326.0,7.5
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,KUNTLOOR HARIZANWAD,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,863.0,5.75
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,KUNTLOOR W S COLON,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,461.0,5.75
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,LAXMAREDDY PALEM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,1809.0,10.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,MARIPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,1231.0,7.75
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,PASUMAMULA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,14.0,12313.0,35.5
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,PEDDA AMBERPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,26,26.0,9324.0,63.0
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,ABDULLAPURMET,MAZEED PUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,8282.0,29.5
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,ABDULLAPURMET,PEERLA GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,1.0,1553.0,5.75
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,ABDULLAPURMET,PIGLIPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,8.0,2266.0,31.75
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,ABDULLAPURMET,SADIPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,1.0,549.0,9.5
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,ABDULLAPURMET,SINGARENI COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,3662.0,3.75
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,ABDULLAPURMET,TARAMATIPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,18,17.0,24660.0,60.5
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,ABDULLAPURMET,U K DAYARA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,8,6.0,1235.0,21.25
