circle,division,subdivision,section,area,catcode,catdesc,totservices,billedservices,units,load
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,BUGGAGUDA,5,Agriculture,3,0,0,15.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,CHELMELA,5,Agriculture,6,0,0,30.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,CHINTAPALLY,5,Agriculture,8,0,0,40.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,DANTANPALLY,5,Agriculture,1,0,0,5.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,DEVAIGUDA,5,Agriculture,5,0,0,25.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,DORLI,5,Agriculture,7,0,0,35.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,DUGGAPOOR,5,Agriculture,26,0,0,130.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,EDULAPAD,5,Agriculture,14,0,0,70.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,ERKAPALLY,5,Agriculture,7,0,0,35.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,GADALAPALLY,5,Agriculture,16,0,0,80.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,GAMBIRRAOPET (T),5,Agriculture,40,0,0,200.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,GANGAPOOR (T),5,Agriculture,5,0,0,25.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,GINNEDARI,5,Agriculture,45,0,0,225.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,BEJJURU,UTASARANGA PALLY,5,Agriculture,23,0,0,115.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,ANKONDA,5,Agriculture,176,0,0,880.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,BABAPOOR,5,Agriculture,45,0,0,225.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,BABASAGAR,5,Agriculture,44,0,0,220.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,BALAPALLY,5,Agriculture,14,0,0,70.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,BODAMPALLY (CHEEPURUDUBBA),5,Agriculture,38,0,0,190.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,BUREPELLY,5,Agriculture,67,0,0,337.5
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,CHINTALAMANPALLY,5,Agriculture,79,0,0,395.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,DABBA,5,Agriculture,81,0,0,407.5
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,GANGAPOOR (K),5,Agriculture,208,0,0,1040.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,GOWRARAM,5,Agriculture,25,0,0,135.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,GURRALABAILU,5,Agriculture,1,0,0,60.0
